year,month,month_start_date,total_deaths,data_as_of,data_loaded_at
2020,April,2020/04/01,51,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,April,2021/04/01,52,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,April,2022/04/01,54,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,April,2023/04/01,71,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,April,2024/04/01,59,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2025,April,2025/04/01,58,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,August,2020/08/01,75,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,August,2021/08/01,46,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,August,2022/08/01,50,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,August,2023/08/01,88,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,August,2024/08/01,47,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,December,2020/12/01,64,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,December,2021/12/01,53,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,December,2022/12/01,75,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,December,2023/12/01,50,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,December,2024/12/01,51,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,February,2020/02/01,44,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,February,2021/02/01,71,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,February,2022/02/01,51,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,February,2023/02/01,52,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,February,2024/02/01,63,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2025,February,2025/02/01,71,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,January,2020/01/01,39,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,January,2021/01/01,65,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,January,2022/01/01,50,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,January,2023/01/01,84,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,January,2024/01/01,71,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2025,January,2025/01/01,62,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,July,2020/07/01,72,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,July,2021/07/01,52,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,July,2022/07/01,43,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,July,2023/07/01,79,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,July,2024/07/01,41,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,June,2020/06/01,73,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,June,2021/06/01,50,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,June,2022/06/01,59,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,June,2023/06/01,57,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,June,2024/06/01,49,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2025,June,2025/06/01,43,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,March,2020/03/01,51,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,March,2021/03/01,53,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,March,2022/03/01,41,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,March,2023/03/01,68,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,March,2024/03/01,70,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2025,March,2025/03/01,66,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,May,2020/05/01,70,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,May,2021/05/01,45,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,May,2022/05/01,50,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,May,2023/05/01,73,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,May,2024/05/01,66,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2025,May,2025/05/01,58,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,November,2020/11/01,56,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,November,2021/11/01,53,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,November,2022/11/01,61,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,November,2023/11/01,59,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,November,2024/11/01,40,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,October,2020/10/01,65,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,October,2021/10/01,45,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,October,2022/10/01,52,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,October,2023/10/01,70,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,October,2024/10/01,37,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2020,September,2020/09/01,65,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2021,September,2021/09/01,56,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2022,September,2022/09/01,61,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2023,September,2023/09/01,59,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
2024,September,2024/09/01,41,2025/07/21 07:37:40 AM,2025/07/21 08:48:43 AM
